scenario,n_frames,conflict_A_pct,n_conflicts_A,speed_acc_pct,steer_acc_pct,mean_ep_err_m,natural_agree_pct,conflict_B_before_pct,conflict_B_after_pct,n_conflicts_B_before,n_conflicts_B_after,n_conflicts_resolved,resolution_rate_pct,conflict_B2_before_pct,conflict_B2_after_pct,n_conflicts_B2_before,n_conflicts_B2_after,conflict_C_pct,n_conflicts_C,rule_agreement_pct,rule_no_conflict_pct,rule_ttc_pct,rule_tiebreak_pct
0,117,0.0,0,100.0,100.0,15.576,21.4,0.0,0.0,0,0,0,,,,,,0.0,0,21.4,78.6,0.0,0.0
1,84,0.0,0,95.2,53.6,17.697,28.6,2.4,1.2,2,1,1,50.0,,,,,2.4,2,28.6,69.0,1.2,1.2
2,114,0.0,0,100.0,96.5,18.925,63.2,0.0,0.0,0,0,0,,,,,,0.0,0,63.2,36.8,0.0,0.0
3,168,0.0,0,98.8,100.0,5.008,40.5,0.6,0.0,1,0,1,100.0,,,,,0.0,0,40.5,58.9,0.6,0.0
4,150,0.0,0,98.0,100.0,0.857,86.0,0.0,0.0,0,0,0,,,,,,0.0,0,86.0,14.0,0.0,0.0
5,280,0.0,0,100.0,100.0,10.329,100.0,0.0,0.0,0,0,0,,,,,,0.0,0,100.0,0.0,0.0,0.0
6,274,5.1,14,99.3,100.0,3.966,63.5,8.0,8.0,22,22,0,0.0,,,,,8.0,22,63.5,28.5,8.0,0.0
7,191,0.0,0,84.8,84.3,5.122,8.9,0.0,0.0,0,0,0,,,,,,0.0,0,8.9,91.1,0.0,0.0
8,345,0.0,0,100.0,100.0,0.0,100.0,0.0,0.0,0,0,0,,,,,,0.0,0,100.0,0.0,0.0,0.0
all,1723,0.8,14,97.7,95.8,6.613,65.8,1.5,1.3,25,23,2,8.0,,,,,1.4,24,65.8,32.7,1.4,0.1
